Method,Dataset,Slice,Modality,GT,Clustering,Runtime,Status,Moran_I,ARI,NMI,cASW,cLISI,SC_Score,BioC_Score,Silhouette,DBI,CHI,BVC_Score,Error
PRESENT,Human_Lymph_Nodes,A1,RNA_ADT,True,leiden,90.5,OK,0.9508502521451395,0.2324792092990683,0.3815557721992796,0.5069742705672979,0.9026687066518154,0.9508502521451395,0.5059194896793653,,,,,
PRESENT,Human_Lymph_Nodes,A1,RNA_ADT,True,louvain,90.5,OK,0.9508502521451395,0.23153657062687583,0.35641755141728226,0.5069742705672979,0.9026687066518154,0.9508502521451395,0.4993992748158179,,,,,
PRESENT,Human_Lymph_Nodes,A1,RNA_ADT,True,kmeans,90.5,OK,0.9508502521451395,0.2021466645244139,0.35767907611656946,0.5069742705672979,0.9026687066518154,0.9508502521451395,0.4923671794650242,,,,,
PRESENT,Human_Lymph_Nodes,A1,RNA_ADT,True,mclust,90.5,OK,0.9508502521451395,0.19170324087853072,0.3661794880041197,0.5069742705672979,0.9026687066518154,0.9508502521451395,0.491881426525441,,,,,
PRESENT,Human_Lymph_Nodes,D1,RNA_ADT,True,leiden,58.6,OK,0.9333368567509088,0.12941247534746436,0.3041248967851452,0.5032047459390014,0.9008369958397127,0.9333368567509088,0.45939477847783095,,,,,
PRESENT,Human_Lymph_Nodes,D1,RNA_ADT,True,louvain,58.6,OK,0.9333368567509088,0.15214036573809192,0.3062974442522128,0.5032047459390014,0.9008369958397127,0.9333368567509088,0.46561988794225473,,,,,
PRESENT,Human_Lymph_Nodes,D1,RNA_ADT,True,kmeans,58.6,OK,0.9333368567509088,0.16165916087612595,0.3131416844307666,0.5032047459390014,0.9008369958397127,0.9333368567509088,0.4697106467714017,,,,,
PRESENT,Human_Lymph_Nodes,D1,RNA_ADT,True,mclust,58.6,OK,0.9333368567509088,0.1651424935759117,0.32757266227919446,0.5032047459390014,0.9008369958397127,0.9333368567509088,0.47418922440845507,,,,,
PRESENT,Human_Tonsils,S1,RNA_ADT,True,leiden,58.7,OK,0.9814853460484432,0.08974487714203902,0.2686460725037733,0.5183208920061588,0.8463832730821159,0.9814853460484432,0.43077377868352174,,,,,
PRESENT,Human_Tonsils,S1,RNA_ADT,True,louvain,58.7,OK,0.9814853460484432,0.09370156457919099,0.2630923990394669,0.5183208920061588,0.8463832730821159,0.9814853460484432,0.43037453217673316,,,,,
PRESENT,Human_Tonsils,S1,RNA_ADT,True,kmeans,58.7,OK,0.9814853460484432,0.12678737553134303,0.22994802646391352,0.5183208920061588,0.8463832730821159,0.9814853460484432,0.43035989177088285,,,,,
PRESENT,Human_Tonsils,S1,RNA_ADT,True,mclust,58.7,OK,0.9814853460484432,0.17773305236627954,0.26732025830716016,0.5183208920061588,0.8463832730821159,0.9814853460484432,0.4524393689404286,,,,,
PRESENT,Human_Tonsils,S2,RNA_ADT,True,leiden,59.6,OK,0.9945679610234281,0.0896737276342285,0.2619048332175074,0.5017950864275917,0.8756328289629927,0.9945679610234281,0.4322516190605801,,,,,
PRESENT,Human_Tonsils,S2,RNA_ADT,True,louvain,59.6,OK,0.9945679610234281,0.08883145993281391,0.2572876211333198,0.5017950864275917,0.8756328289629927,0.9945679610234281,0.43088674911417957,,,,,
PRESENT,Human_Tonsils,S2,RNA_ADT,True,kmeans,59.6,OK,0.9945679610234281,0.1311968643804483,0.22669502244609355,0.5017950864275917,0.8756328289629927,0.9945679610234281,0.43382995055428153,,,,,
PRESENT,Human_Tonsils,S2,RNA_ADT,True,mclust,59.6,OK,0.9945679610234281,0.11436841946750438,0.24367739963003562,0.5017950864275917,0.8756328289629927,0.9945679610234281,0.4338684336220311,,,,,
PRESENT,Human_Tonsils,S3,RNA_ADT,True,leiden,71.0,OK,0.996944130272596,0.06824481204304661,0.2129138473703784,0.4873207388445735,0.8443318882894755,0.996944130272596,0.4032028216368685,,,,,
PRESENT,Human_Tonsils,S3,RNA_ADT,True,louvain,71.0,OK,0.996944130272596,0.06981517572172394,0.20748610149379557,0.4873207388445735,0.8443318882894755,0.996944130272596,0.4022384760873921,,,,,
PRESENT,Human_Tonsils,S3,RNA_ADT,True,kmeans,71.0,OK,0.996944130272596,0.11756799465293676,0.21758443990963128,0.4873207388445735,0.8443318882894755,0.996944130272596,0.41670126542415425,,,,,
PRESENT,Human_Tonsils,S3,RNA_ADT,True,mclust,71.0,OK,0.996944130272596,0.10192260258116115,0.19942079831214218,0.4873207388445735,0.8443318882894755,0.996944130272596,0.4082490070068381,,,,,
PRESENT,Mouse_Embryos_S1,E11,RNA_ATAC,True,leiden,73.8,OK,0.9257486206190055,0.26337656292498807,0.46201471411115685,0.5099092777818441,0.9451892814772721,0.9257486206190055,0.5451224590738153,,,,,
PRESENT,Mouse_Embryos_S1,E11,RNA_ATAC,True,louvain,73.8,OK,0.9257486206190055,0.28533369849792894,0.45377837573542673,0.5099092777818441,0.9451892814772721,0.9257486206190055,0.548552658373118,,,,,
PRESENT,Mouse_Embryos_S1,E11,RNA_ATAC,True,kmeans,73.8,OK,0.9257486206190055,0.3309026081495585,0.47947869064075405,0.5099092777818441,0.9451892814772721,0.9257486206190055,0.5663699645123572,,,,,
PRESENT,Mouse_Embryos_S1,E11,RNA_ATAC,True,mclust,73.8,OK,0.9257486206190055,0.3278287161273596,0.4849255171899495,0.5099092777818441,0.9451892814772721,0.9257486206190055,0.5669631981441063,,,,,
PRESENT,Mouse_Embryos_S1,E13,RNA_ATAC,True,leiden,96.7,OK,0.9541503291489533,0.1982295542921265,0.4189837000109861,0.47772422060370445,0.9403053244729978,0.9541503291489533,0.5088106998449538,,,,,
PRESENT,Mouse_Embryos_S1,E13,RNA_ATAC,True,louvain,96.7,OK,0.9541503291489533,0.19389973709578995,0.40439633012213805,0.47772422060370445,0.9403053244729978,0.9541503291489533,0.5040814030736576,,,,,
PRESENT,Mouse_Embryos_S1,E13,RNA_ATAC,True,kmeans,96.7,OK,0.9541503291489533,0.18826816530579868,0.3708903201715302,0.47772422060370445,0.9403053244729978,0.9541503291489533,0.49429700763850776,,,,,
PRESENT,Mouse_Embryos_S1,E13,RNA_ATAC,True,mclust,96.7,OK,0.9541503291489533,0.1425383648759777,0.3946058186023939,0.47772422060370445,0.9403053244729978,0.9541503291489533,0.48879343213876847,,,,,
PRESENT,Mouse_Embryos_S1,E15,RNA_ATAC,True,leiden,148.9,OK,0.9629575451233027,0.50198018068259,0.6341168522104573,0.5637030825018883,0.9517990233053769,0.9629575451233027,0.6628997846750782,,,,,
PRESENT,Mouse_Embryos_S1,E15,RNA_ATAC,True,louvain,148.9,OK,0.9629575451233027,0.4448554206659221,0.6013847432952039,0.5637030825018883,0.9517990233053769,0.9629575451233027,0.6404355674420978,,,,,
PRESENT,Mouse_Embryos_S1,E15,RNA_ATAC,True,kmeans,148.9,OK,0.9629575451233027,0.6447895855445916,0.627903432278425,0.5637030825018883,0.9517990233053769,0.9629575451233027,0.6970487809075705,,,,,
PRESENT,Mouse_Embryos_S1,E15,RNA_ATAC,True,mclust,148.9,OK,0.9629575451233027,0.5332818254016956,0.6122521704507652,0.5637030825018883,0.9517990233053769,0.9629575451233027,0.6652590254149315,,,,,
PRESENT,Mouse_Embryos_S1,E18,RNA_ATAC,True,leiden,120.0,OK,0.9577703837455165,0.5292008392758615,0.6586234921712206,0.5267343781888485,0.9547449828597672,0.9577703837455165,0.6673259231239245,,,,,
PRESENT,Mouse_Embryos_S1,E18,RNA_ATAC,True,louvain,120.0,OK,0.9577703837455165,0.5070376478138104,0.6532538154875085,0.5267343781888485,0.9547449828597672,0.9577703837455165,0.6604427060874837,,,,,
PRESENT,Mouse_Embryos_S1,E18,RNA_ATAC,True,kmeans,120.0,OK,0.9577703837455165,0.3974642548566873,0.5841791669652089,0.5267343781888485,0.9547449828597672,0.9577703837455165,0.615780695717628,,,,,
PRESENT,Mouse_Embryos_S1,E18,RNA_ATAC,True,mclust,120.0,OK,0.9577703837455165,0.3647468993000571,0.5952530485059178,0.5267343781888485,0.9547449828597672,0.9577703837455165,0.6103698272136476,,,,,
PRESENT,Mouse_Embryos_S2,E11,RNA_ATAC,True,leiden,64.7,OK,0.9289279469916919,0.2204572156766878,0.40186399933166495,0.4571215435862541,0.9146508238071429,0.9289279469916919,0.49852339560043746,,,,,
PRESENT,Mouse_Embryos_S2,E11,RNA_ATAC,True,louvain,64.7,OK,0.9289279469916919,0.22240023547211857,0.38881650890217456,0.4571215435862541,0.9146508238071429,0.9289279469916919,0.4957472779419225,,,,,
PRESENT,Mouse_Embryos_S2,E11,RNA_ATAC,True,kmeans,64.7,OK,0.9289279469916919,0.23787353057942162,0.3954261475176962,0.4571215435862541,0.9146508238071429,0.9289279469916919,0.5012680113726287,,,,,
