Method,Dataset,Slice,Modality,GT,Clustering,Runtime,Status,Moran_I,ARI,NMI,cASW,cLISI,SC_Score,BioC_Score,Silhouette,DBI,CHI,BVC_Score
SpaMI,Human_Lymph_Nodes,A1,RNA_ADT,True,leiden,65.0,OK,0.9664542259088807,0.19549259094982946,0.3551722371328086,0.45986612513661385,0.8950897649147227,0.9664542259088807,0.47640517953349365,,,,
SpaMI,Human_Lymph_Nodes,A1,RNA_ADT,True,louvain,65.0,OK,0.9664542259088807,0.16145150918317566,0.31872531961353945,0.45986612513661385,0.8950897649147227,0.9664542259088807,0.4587831797120129,,,,
SpaMI,Human_Lymph_Nodes,A1,RNA_ADT,True,kmeans,65.0,OK,0.9664542259088807,0.17791695763622672,0.33193307014694,0.45986612513661385,0.8950897649147227,0.9664542259088807,0.46620147945862583,,,,
SpaMI,Human_Lymph_Nodes,A1,RNA_ADT,True,mclust,65.0,OK,0.9664542259088807,0.1943764407239018,0.3744073449611076,0.45986612513661385,0.8950897649147227,0.9664542259088807,0.48093491893408646,,,,
SpaMI,Human_Lymph_Nodes,D1,RNA_ADT,True,leiden,49.9,OK,0.9065400354639614,0.15055830230770575,0.309069746962338,0.4840809665620327,0.88815094913261,0.9065400354639614,0.4579649912411716,,,,
SpaMI,Human_Lymph_Nodes,D1,RNA_ADT,True,louvain,49.9,OK,0.9065400354639614,0.0923979369595335,0.2668397328837977,0.4840809665620327,0.88815094913261,0.9065400354639614,0.43286739638449345,,,,
SpaMI,Human_Lymph_Nodes,D1,RNA_ADT,True,kmeans,49.9,OK,0.9065400354639614,0.11686074743664955,0.23959723445888348,0.4840809665620327,0.88815094913261,0.9065400354639614,0.4321724743975439,,,,
SpaMI,Human_Lymph_Nodes,D1,RNA_ADT,True,mclust,49.9,OK,0.9065400354639614,0.210587382486743,0.3264911853074352,0.4840809665620327,0.88815094913261,0.9065400354639614,0.47732762087220515,,,,
SpaMI,Human_Tonsils,S1,RNA_ADT,True,leiden,51.7,OK,0.9899756476104714,0.07153685054951317,0.22871273213632196,0.47889664582908154,0.8456123108232987,0.9899756476104714,0.40618963483455384,,,,
SpaMI,Human_Tonsils,S1,RNA_ADT,True,louvain,51.7,OK,0.9899756476104714,0.05999689259928313,0.2115568229872797,0.47889664582908154,0.8456123108232987,0.9899756476104714,0.39901566805973576,,,,
