Method,Dataset,Slice,Modality,GT,Clustering,Runtime,Status,Moran_I,ARI,NMI,cASW,cLISI,SC_Score,BioC_Score,Error,Silhouette,DBI,CHI,BVC_Score
SpaMosaic,Human_Lymph_Nodes,A1,RNA_ADT,True,leiden,43.8,OK,1.0019622560130037,0.11497150289867358,0.33095548507501904,0.48131313920021057,0.9211908648893874,1.0019622560130037,0.46210774801582266,,,,,
SpaMosaic,Human_Lymph_Nodes,A1,RNA_ADT,True,louvain,43.8,OK,1.0019622560130037,0.11361742408136599,0.32124332752229606,0.48131313920021057,0.9211908648893874,1.0019622560130037,0.459341188923315,,,,,
SpaMosaic,Human_Lymph_Nodes,A1,RNA_ADT,True,kmeans,43.8,OK,1.0019622560130037,0.1982933038792354,0.36272817287857545,0.48131313920021057,0.9211908648893874,1.0019622560130037,0.4908813702118522,,,,,
SpaMosaic,Human_Lymph_Nodes,A1,RNA_ADT,True,mclust,43.8,OK,1.0019622560130037,0.16711602059744213,0.34528079742106965,0.48131313920021057,0.9211908648893874,1.0019622560130037,0.47872520552702746,,,,,
SpaMosaic,Human_Lymph_Nodes,D1,RNA_ADT,True,leiden,24.9,OK,1.0041068214656563,0.10444806924317974,0.32654184240229583,0.490964169614017,0.9209919902034288,1.0041068214656563,0.46073651786573033,,,,,
SpaMosaic,Human_Lymph_Nodes,D1,RNA_ADT,True,louvain,24.9,OK,1.0041068214656563,0.10218316880857964,0.3106483132758389,0.490964169614017,0.9209919902034288,1.0041068214656563,0.45619691047546607,,,,,
SpaMosaic,Human_Lymph_Nodes,D1,RNA_ADT,True,kmeans,24.9,OK,1.0041068214656563,0.18723872614768633,0.355815299620981,0.490964169614017,0.9209919902034288,1.0041068214656563,0.4887525463965283,,,,,
SpaMosaic,Human_Lymph_Nodes,D1,RNA_ADT,True,mclust,24.9,OK,1.0041068214656563,0.19339518544673323,0.3501501245283982,0.490964169614017,0.9209919902034288,1.0041068214656563,0.4888753674481443,,,,,
SpaMosaic,Human_Tonsils,S1,RNA_ADT,True,leiden,28.2,OK,1.0043440637599452,0.04285717069227343,0.2052753656542341,0.4911392079666257,0.8501222315522904,1.0043440637599452,0.3973484939663559,,,,,
SpaMosaic,Human_Tonsils,S1,RNA_ADT,True,louvain,28.2,OK,1.0043440637599452,0.04857362821145203,0.20517456671844717,0.4911392079666257,0.8501222315522904,1.0043440637599452,0.39875240861220385,,,,,
SpaMosaic,Human_Tonsils,S1,RNA_ADT,True,kmeans,28.2,OK,1.0043440637599452,0.12591747875733011,0.24652174600418617,0.4911392079666257,0.8501222315522904,1.0043440637599452,0.42842516607010805,,,,,
SpaMosaic,Human_Tonsils,S1,RNA_ADT,True,mclust,28.2,OK,1.0043440637599452,0.10566232238043148,0.1931445452550719,0.4911392079666257,0.8501222315522904,1.0043440637599452,0.4100170767886049,,,,,
SpaMosaic,Human_Tonsils,S2,RNA_ADT,True,leiden,28.5,OK,1.002884146971201,0.05731962913167346,0.21622123878458066,0.45126399025321007,0.8740375527883335,1.002884146971201,0.3997106027394494,,,,,
SpaMosaic,Human_Tonsils,S2,RNA_ADT,True,louvain,28.5,OK,1.002884146971201,0.0643781917807072,0.2172513737056459,0.45126399025321007,0.8740375527883335,1.002884146971201,0.4017327771319742,,,,,
SpaMosaic,Human_Tonsils,S2,RNA_ADT,True,kmeans,28.5,OK,1.002884146971201,0.12289861917841025,0.22676968516233004,0.45126399025321007,0.8740375527883335,1.002884146971201,0.41874246184557096,,,,,
SpaMosaic,Human_Tonsils,S2,RNA_ADT,True,mclust,28.5,OK,1.002884146971201,0.09756592357557663,0.20656696964209242,0.45126399025321007,0.8740375527883335,1.002884146971201,0.40735860906480315,,,,,
SpaMosaic,Human_Tonsils,S3,RNA_ADT,True,leiden,30.3,OK,1.0018381325775123,0.03920845315923859,0.17347148435807946,0.4474436268210411,0.8375433575793761,1.0018381325775123,0.3744167304794338,,,,,
SpaMosaic,Human_Tonsils,S3,RNA_ADT,True,louvain,30.3,OK,1.0018381325775123,0.04182003349509001,0.17013366360960805,0.4474436268210411,0.8375433575793761,1.0018381325775123,0.37423517037627885,,,,,
SpaMosaic,Human_Tonsils,S3,RNA_ADT,True,kmeans,30.3,OK,1.0018381325775123,0.11011292524495103,0.20049542791371674,0.4474436268210411,0.8375433575793761,1.0018381325775123,0.39889883438977125,,,,,
SpaMosaic,Human_Tonsils,S3,RNA_ADT,True,mclust,30.3,OK,1.0018381325775123,0.04092827282029474,0.1414122494341628,0.4474436268210411,0.8375433575793761,1.0018381325775123,0.3668318766637187,,,,,
SpaMosaic,Mouse_Embryos_S1,E11,RNA_ATAC,True,leiden,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E11,RNA_ATAC,True,louvain,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E11,RNA_ATAC,True,kmeans,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E11,RNA_ATAC,True,mclust,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E13,RNA_ATAC,True,leiden,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E13,RNA_ATAC,True,louvain,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E13,RNA_ATAC,True,kmeans,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E13,RNA_ATAC,True,mclust,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E15,RNA_ATAC,True,leiden,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E15,RNA_ATAC,True,louvain,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E15,RNA_ATAC,True,kmeans,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E15,RNA_ATAC,True,mclust,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E18,RNA_ATAC,True,leiden,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E18,RNA_ATAC,True,louvain,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E18,RNA_ATAC,True,kmeans,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S1,E18,RNA_ATAC,True,mclust,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E11,RNA_ATAC,True,leiden,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E11,RNA_ATAC,True,louvain,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E11,RNA_ATAC,True,kmeans,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E11,RNA_ATAC,True,mclust,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E13,RNA_ATAC,True,leiden,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E13,RNA_ATAC,True,louvain,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E13,RNA_ATAC,True,kmeans,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E13,RNA_ATAC,True,mclust,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E15,RNA_ATAC,True,leiden,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E15,RNA_ATAC,True,louvain,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E15,RNA_ATAC,True,kmeans,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E15,RNA_ATAC,True,mclust,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
SpaMosaic,Mouse_Embryos_S2,E18,RNA_ATAC,True,leiden,,INTEGRATE_FAIL,,,,,,,,"Method 'SpaMosaic' failed (exit code 1).
Output:
/base/louvain/__init__.py:54: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or p",,,,
