Method,Dataset,Slice,Modality,GT,Clustering,Runtime,Status,Moran_I,ARI,NMI,cASW,cLISI,SC_Score,BioC_Score,Error,Silhouette,DBI,CHI,BVC_Score
spaMultiVAE,Human_Lymph_Nodes,A1,RNA_ADT,True,leiden,2412.1,OK,0.9964415365290615,0.10030140852620441,0.3148909109086514,0.41460672369521523,0.9019792889727442,0.9964415365290615,0.4329445830257038,,,,,
spaMultiVAE,Human_Lymph_Nodes,A1,RNA_ADT,True,louvain,2412.1,OK,0.9964415365290615,0.11450121891215297,0.3270162896553035,0.41460672369521523,0.9019792889727442,0.9964415365290615,0.439525880308854,,,,,
spaMultiVAE,Human_Lymph_Nodes,A1,RNA_ADT,True,kmeans,2412.1,OK,0.9964415365290615,0.18638764343157133,0.34800485797162817,0.41460672369521523,0.9019792889727442,0.9964415365290615,0.46274462851778975,,,,,
spaMultiVAE,Human_Lymph_Nodes,A1,RNA_ADT,True,mclust,2412.1,OK,0.9964415365290615,0.18912888176519968,0.3292941272541571,0.41460672369521523,0.9019792889727442,0.9964415365290615,0.45875225542182907,,,,,
spaMultiVAE,Human_Lymph_Nodes,D1,RNA_ADT,True,leiden,366.2,OK,0.978192128761759,0.07804460972291846,0.19438695950007254,0.33746737593698634,0.8716076604347812,0.978192128761759,0.37037665139868964,,,,,
spaMultiVAE,Human_Lymph_Nodes,D1,RNA_ADT,True,louvain,366.2,OK,0.978192128761759,0.07948804329305079,0.19302332624646057,0.33746737593698634,0.8716076604347812,0.978192128761759,0.3703966014778197,,,,,
spaMultiVAE,Human_Lymph_Nodes,D1,RNA_ADT,True,kmeans,366.2,OK,0.978192128761759,0.09337077280979078,0.19800311362352213,0.33746737593698634,0.8716076604347812,0.978192128761759,0.3751122307012701,,,,,
spaMultiVAE,Human_Lymph_Nodes,D1,RNA_ADT,True,mclust,366.2,OK,0.978192128761759,0.07708629164651506,0.18239696886774756,0.33746737593698634,0.8716076604347812,0.978192128761759,0.36713957422150756,,,,,
spaMultiVAE,Human_Tonsils,S1,RNA_ADT,True,leiden,,INTEGRATE_FAIL,,,,,,,,linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 1 is not positive-definite).,,,,
spaMultiVAE,Human_Tonsils,S1,RNA_ADT,True,louvain,,INTEGRATE_FAIL,,,,,,,,linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 1 is not positive-definite).,,,,
spaMultiVAE,Human_Tonsils,S1,RNA_ADT,True,kmeans,,INTEGRATE_FAIL,,,,,,,,linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 1 is not positive-definite).,,,,
spaMultiVAE,Human_Tonsils,S1,RNA_ADT,True,mclust,,INTEGRATE_FAIL,,,,,,,,linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 1 is not positive-definite).,,,,
spaMultiVAE,Human_Tonsils,S2,RNA_ADT,True,leiden,,INTEGRATE_FAIL,,,,,,,,linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 1 is not positive-definite).,,,,
spaMultiVAE,Human_Tonsils,S2,RNA_ADT,True,louvain,,INTEGRATE_FAIL,,,,,,,,linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 1 is not positive-definite).,,,,
spaMultiVAE,Human_Tonsils,S2,RNA_ADT,True,kmeans,,INTEGRATE_FAIL,,,,,,,,linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 1 is not positive-definite).,,,,
spaMultiVAE,Human_Tonsils,S2,RNA_ADT,True,mclust,,INTEGRATE_FAIL,,,,,,,,linalg.cholesky: The factorization could not be completed because the input is not positive-definite (the leading minor of order 1 is not positive-definite).,,,,
spaMultiVAE,Human_Tonsils,S3,RNA_ADT,True,leiden,2266.4,OK,0.9787491547771485,0.05694471901484258,0.19176430206873477,0.4935223760422428,0.8308876118152408,0.9787491547771485,0.39327975223526523,,,,,
spaMultiVAE,Human_Tonsils,S3,RNA_ADT,True,louvain,2266.4,OK,0.9787491547771485,0.053411781967151475,0.19388800269694031,0.4935223760422428,0.8308876118152408,0.9787491547771485,0.39292744313039385,,,,,
spaMultiVAE,Human_Tonsils,S3,RNA_ADT,True,kmeans,2266.4,OK,0.9787491547771485,0.1364284737186427,0.22294895726948405,0.4935223760422428,0.8308876118152408,0.9787491547771485,0.4209468547114026,,,,,
spaMultiVAE,Human_Tonsils,S3,RNA_ADT,True,mclust,2266.4,OK,0.9787491547771485,0.13839469828907242,0.1847824493847021,0.4935223760422428,0.8308876118152408,0.9787491547771485,0.41189678388281453,,,,,
spaMultiVAE,Mouse_Spleen,Mouse_Spleen1,RNA_ADT,False,leiden,810.8,OK,0.9801733358501259,,,,,0.9801733358501259,,,0.2149539880507406,1.2059456197373053,864.122037421556,0.2149539880507406
