Method,Dataset,Slice,Modality,GT,Clustering,Runtime,Status,Moran_I,ARI,NMI,cASW,cLISI,SC_Score,BioC_Score,Error,Silhouette,DBI,CHI,BVC_Score
SWITCH,Human_Lymph_Nodes,A1,RNA_ADT,True,leiden,232.1,OK,0.9680316190518579,0.09545984518551869,0.29673231847085485,0.46487247943878174,0.878097253436041,0.9680316190518579,0.43379047413279903,,,,,
SWITCH,Human_Lymph_Nodes,A1,RNA_ADT,True,louvain,232.1,OK,0.9680316190518579,0.10849122577130405,0.2882418832079546,0.46487247943878174,0.878097253436041,0.9680316190518579,0.43492571046352035,,,,,
SWITCH,Human_Lymph_Nodes,A1,RNA_ADT,True,kmeans,232.1,OK,0.9680316190518579,0.18077207841141965,0.3491510118041485,0.46487247943878174,0.878097253436041,0.9680316190518579,0.4682232057725977,,,,,
SWITCH,Human_Lymph_Nodes,A1,RNA_ADT,True,mclust,232.1,OK,0.9680316190518579,0.17731887894413156,0.3291257516925293,0.46487247943878174,0.878097253436041,0.9680316190518579,0.46235359087787087,,,,,
SWITCH,Human_Lymph_Nodes,D1,RNA_ADT,True,leiden,195.7,OK,0.9866085889200858,0.0863545000378667,0.2666227883789223,0.4534021280705929,0.8839219266452141,0.9866085889200858,0.422575335783149,,,,,
SWITCH,Human_Lymph_Nodes,D1,RNA_ADT,True,louvain,195.7,OK,0.9866085889200858,0.08332520035430122,0.2635028933171982,0.4534021280705929,0.8839219266452141,0.9866085889200858,0.4210380370968266,,,,,
SWITCH,Human_Lymph_Nodes,D1,RNA_ADT,True,kmeans,195.7,OK,0.9866085889200858,0.14758221464515753,0.2883105341340039,0.4534021280705929,0.8839219266452141,0.9866085889200858,0.4433042008737421,,,,,
SWITCH,Human_Lymph_Nodes,D1,RNA_ADT,True,mclust,195.7,OK,0.9866085889200858,0.13640887046825123,0.2907166736987558,0.4534021280705929,0.8839219266452141,0.9866085889200858,0.4411123997207035,,,,,
SWITCH,Human_Tonsils,S1,RNA_ADT,True,leiden,213.9,OK,0.9842682355297541,0.06695962461917948,0.2371134437686559,0.5321230441331863,0.8394536821899713,0.9842682355297541,0.41891244867774824,,,,,
SWITCH,Human_Tonsils,S1,RNA_ADT,True,louvain,213.9,OK,0.9842682355297541,0.056729392827132276,0.22833296917767443,0.5321230441331863,0.8394536821899713,0.9842682355297541,0.41415977208199106,,,,,
SWITCH,Human_Tonsils,S1,RNA_ADT,True,kmeans,213.9,OK,0.9842682355297541,0.1787033334831121,0.27789068578138937,0.5321230441331863,0.8394536821899713,0.9842682355297541,0.4570426863969148,,,,,
SWITCH,Human_Tonsils,S1,RNA_ADT,True,mclust,213.9,OK,0.9842682355297541,0.10889729092331919,0.22037599107294933,0.5321230441331863,0.8394536821899713,0.9842682355297541,0.4252125020798565,,,,,
SWITCH,Human_Tonsils,S2,RNA_ADT,True,leiden,220.3,OK,0.9882011337680472,0.07767318138663053,0.2544185496024677,0.5125042423605919,0.8719370545519454,0.9882011337680472,0.4291332569754089,,,,,
SWITCH,Human_Tonsils,S2,RNA_ADT,True,louvain,220.3,OK,0.9882011337680472,0.07086322217594286,0.24651209078020442,0.5125042423605919,0.8719370545519454,0.9882011337680472,0.4254541524671711,,,,,
SWITCH,Human_Tonsils,S2,RNA_ADT,True,kmeans,220.3,OK,0.9882011337680472,0.165186657327666,0.26272332262492515,0.5125042423605919,0.8719370545519454,0.9882011337680472,0.4530878192162821,,,,,
SWITCH,Human_Tonsils,S2,RNA_ADT,True,mclust,220.3,OK,0.9882011337680472,0.1163508462242579,0.2090412505674953,0.5125042423605919,0.8719370545519454,0.9882011337680472,0.4274583484260726,,,,,
SWITCH,Human_Tonsils,S3,RNA_ADT,True,leiden,544.2,OK,0.9904482532204169,0.04823662676588796,0.2030804109610271,0.4957400388084352,0.8287197282115264,0.9904482532204169,0.39394420118671913,,,,,
SWITCH,Human_Tonsils,S3,RNA_ADT,True,louvain,544.2,OK,0.9904482532204169,0.047608275964753526,0.19733662897972537,0.4957400388084352,0.8287197282115264,0.9904482532204169,0.39235116799111014,,,,,
SWITCH,Human_Tonsils,S3,RNA_ADT,True,kmeans,544.2,OK,0.9904482532204169,0.14736964557029414,0.2250327553321944,0.4957400388084352,0.8287197282115264,0.9904482532204169,0.4242155419806125,,,,,
